"","this","needs_this","type"
"116","BayesDA","MCMCpack","suggests"
"117","BayesFactor","R","depends"
"118","BayesFactor","coda","depends"
"119","BayesFactor","Matrix","depends"
"120","BayesFactor","pbapply","imports"
"121","BayesFactor","mvtnorm","imports"
"122","BayesFactor","stringr","imports"
"123","BayesFactor","utils","imports"
"124","BayesFactor","graphics","imports"
"125","BayesFactor","gtools","imports"
"126","BayesFactor","MatrixModels","imports"
"127","BayesFactor","Rcpp","imports"
"128","BayesFactor","methods","imports"
"129","BayesFactor","hypergeo","imports"
"130","BayesFactor","doMC","suggests"
"131","BayesFactor","foreach","suggests"
"132","BayesFactor","testthat","suggests"
"133","BayesFactor","knitr","suggests"
"134","BayesFactor","markdown","suggests"
"135","BayesFactor","arm","suggests"
"136","BayesFactor","lme4","suggests"
"137","BayesFactor","xtable","suggests"
"138","BayesFactor","languageR","suggests"
"139","bayesGARCH","mvtnorm","imports"
"140","bayesGARCH","coda","imports"
"141","bayesImageS","R","depends"
"142","bayesImageS","Rcpp","imports"
"143","bayesImageS","mcmcse","suggests"
"144","bayesImageS","coda","suggests"
"145","bayesImageS","PottsUtils","suggests"
"146","bayesImageS","rstan","suggests"
"147","bayesImageS","knitr","suggests"
"148","bayesImageS","rmarkdown","suggests"
"149","bayesImageS","lattice","suggests"
"150","bayesm","R","depends"
"151","bayesm","Rcpp","imports"
"152","bayesm","utils","imports"
"153","bayesm","stats","imports"
"154","bayesm","graphics","imports"
"155","bayesm","grDevices","imports"
"156","bayesm","knitr","suggests"
"157","bayesm","rmarkdown","suggests"
"158","bayesmeta","forestplot","depends"
"159","bayesmeta","metafor","depends"
"160","bayesmeta","compute.es","suggests"
"161","bayesmeta","knitr","suggests"
"162","bayesmeta","rmarkdown","suggests"
"163","bayesmeta","R.rsp","suggests"
"164","bayesmix","R","depends"
"165","bayesmix","graphics","imports"
"166","bayesmix","stats","imports"
"167","bayesmix","methods","imports"
"168","bayesmix","rjags","imports"
"169","bayesmix","coda","imports"
"170","bayesQR","R","depends"
"171","bayesQR","graphics","depends"
"172","bayesQR","methods","depends"
"173","bayesQR","stats","depends"
"174","bayesQR","utils","depends"
"175","BayesSummaryStatLM","R","depends"
"176","BayesSummaryStatLM","mvnfast","depends"
"177","BayesSummaryStatLM","ff","depends"
"178","bayesSurv","R","depends"
"179","bayesSurv","survival","depends"
"180","bayesSurv","coda","depends"
"181","bayesSurv","smoothSurv","depends"
"182","bayesSurv","graphics","imports"
"183","bayesSurv","stats","imports"
"184","bayesSurv","utils","imports"
"185","BayesTree","nnet","imports"
"186","BayesValidate","R","depends"
"187","BayesVarSel","MASS","depends"
"188","BayesVarSel","mvtnorm","depends"
"189","BayesVarSel","parallel","depends"
"190","BayesVarSel","R","depends"
"191","BayesX","shapefiles","depends"
"192","BayesX","sp","imports"
"193","BayesX","maptools","imports"
"194","BayesX","colorspace","imports"
"195","BayesX","coda","imports"
"196","BayesX","splines","imports"
"197","BayesX","methods","imports"
"198","BayesX","spdep","suggests"
"199","BayesX","akima","suggests"
"200","BayesX","gpclib","suggests"
"201","BayesX","rgeos","suggests"
"202","BayHaz","R","depends"
"203","BayHaz","splines","depends"
"204","BayHaz","coda","suggests"
"205","BAYSTAR","R","depends"
"206","BAYSTAR","mvtnorm","depends"
"207","BAYSTAR","coda","depends"
"208","bbemkr","R","depends"
"209","bbemkr","MASS","depends"
"210","BCBCSF","R","depends"
"211","BCBCSF","abind","depends"
"212","BCE","R","depends"
"213","BCE","FME","depends"
"214","BCE","limSolve","depends"
"215","BCE","Matrix","depends"
"216","bclust","R","depends"
"217","bclust","stats","depends"
"218","bclust","grDevices","depends"
"219","bclust","graphics","depends"
"220","bcp","graphics","depends"
"221","bcp","methods","depends"
"222","bcp","grid","depends"
"223","bcp","Rcpp","imports"
"224","bcp","DNAcopy","suggests"
"225","bcp","coda","suggests"
"226","bcp","strucchange","suggests"
"227","bcp","vegan","suggests"
"228","bcp","ggplot2","suggests"
"229","bcp","igraph","suggests"
"230","BDgraph","igraph","imports"
"231","BLR","R","depends"
"232","BLR","SuppDists","depends"
"233","BMA","survival","depends"
"234","BMA","leaps","depends"
"235","BMA","robustbase","depends"
"236","BMA","inline","depends"
"237","BMA","rrcov","depends"
"238","BMA","methods","imports"
"239","BMA","MASS","suggests"
"240","Bmix","mvtnorm","depends"
"241","bmixture","R","depends"
"242","bmixture","BDgraph","imports"
"243","BMS","R","depends"
"244","BMS","graphics","imports"
"245","BMS","methods","imports"
"246","BMS","stats","imports"
"247","bnlearn","R","depends"
"248","bnlearn","methods","depends"
"249","bnlearn","parallel","suggests"
"250","bnlearn","graph","suggests"
"251","bnlearn","Rgraphviz","suggests"
"252","bnlearn","lattice","suggests"
"253","bnlearn","gRain","suggests"
"254","bnlearn","ROCR","suggests"
"255","bnlearn","Rmpfr","suggests"
"256","bnlearn","gmp","suggests"
"257","BNSP","R","depends"
"258","BNSP","coda","imports"
"259","BNSP","ggplot2","imports"
"260","BNSP","plot3D","imports"
"261","BNSP","threejs","imports"
"262","BNSP","gridExtra","imports"
"263","BNSP","cubature","imports"
"264","BNSP","Formula","imports"
"265","BNSP","plyr","imports"
"266","BNSP","mgcv","imports"
"267","BNSP","corrplot","imports"
"268","BNSP","mvtnorm","suggests"
"269","BNSP","np","suggests"
"270","boa","R","depends"
"271","boa","graphics","imports"
"272","boa","grDevices","imports"
"273","boa","stats","imports"
"274","boa","utils","imports"
"275","Bolstad","R","depends"
"276","Bolstad","mvtnorm","imports"
"277","Boom","MASS","depends"
"278","Boom","R","depends"
"279","Boom","testthat","suggests"
"280","BoomSpikeSlab","Boom","depends"
"281","BoomSpikeSlab","R","depends"
"282","BoomSpikeSlab","igraph","imports"
"283","BoomSpikeSlab","MASS","suggests"
"284","BoomSpikeSlab","testthat","suggests"
"285","BoomSpikeSlab","mlbench","suggests"
"286","bqtl","R","depends"
"287","bridgesampling","R","depends"
"288","bridgesampling","mvnfast","imports"
"289","bridgesampling","Matrix","imports"
"290","bridgesampling","Brobdingnag","imports"
"291","bridgesampling","stringr","imports"
"292","bridgesampling","coda","imports"
"293","bridgesampling","parallel","imports"
"294","bridgesampling","scales","imports"
"295","bridgesampling","utils","imports"
"296","bridgesampling","methods","imports"
"297","bridgesampling","testthat","suggests"
"298","bridgesampling","Rcpp","suggests"
"299","bridgesampling","RcppEigen","suggests"
"300","bridgesampling","R2jags","suggests"
"301","bridgesampling","rjags","suggests"
"302","bridgesampling","runjags","suggests"
"303","bridgesampling","knitr","suggests"
"304","bridgesampling","rmarkdown","suggests"
"305","bridgesampling","R.rsp","suggests"
"306","bridgesampling","BayesFactor","suggests"
"307","bridgesampling","rstan","suggests"
"308","bridgesampling","rstanarm","suggests"
"309","bridgesampling","nimble","suggests"
"310","bridgesampling","MCMCpack","suggests"
"311","brms","R","depends"
"312","brms","Rcpp","depends"
"313","brms","methods","depends"
"314","brms","rstan","imports"
"315","brms","ggplot2","imports"
"316","brms","loo","imports"
"317","brms","Matrix","imports"
"318","brms","mgcv","imports"
"319","brms","rstantools","imports"
"320","brms","bayesplot","imports"
"321","brms","shinystan","imports"
"322","brms","bridgesampling","imports"
"323","brms","glue","imports"
"324","brms","matrixStats","imports"
"325","brms","nleqslv","imports"
"326","brms","nlme","imports"
"327","brms","coda","imports"
"328","brms","abind","imports"
"329","brms","future","imports"
"330","brms","stats","imports"
"331","brms","utils","imports"
"332","brms","parallel","imports"
"333","brms","grDevices","imports"
"334","brms","backports","imports"
"335","brms","testthat","suggests"
"336","brms","RWiener","suggests"
"337","brms","mice","suggests"
"338","brms","spdep","suggests"
"339","brms","mnormt","suggests"
"340","brms","lme4","suggests"
"341","brms","MCMCglmm","suggests"
"342","brms","splines2","suggests"
"343","brms","ape","suggests"
"344","brms","arm","suggests"
"345","brms","statmod","suggests"
"346","brms","digest","suggests"
"347","brms","R.rsp","suggests"
"348","brms","knitr","suggests"
"349","brms","rmarkdown","suggests"
"350","bsamGP","MASS","imports"
"351","bsamGP","ggplot2","imports"
"352","bsamGP","gridExtra","imports"
"353","bsts","BoomSpikeSlab","depends"
"354","bsts","zoo","depends"
"355","bsts","xts","depends"
"356","bsts","Boom","depends"
"357","bsts","R","depends"
"358","bsts","testthat","suggests"
"359","BVS","MASS","depends"
"360","BVS","msm","depends"
"361","BVS","haplo.stats","depends"
"362","BVS","R","depends"
"363","catnet","R","depends"
"364","catnet","methods","imports"
"365","catnet","stats","imports"
"366","catnet","utils","imports"
"367","catnet","graphics","imports"
"368","coalescentMCMC","ape","depends"
"369","coalescentMCMC","coda","depends"
"370","coalescentMCMC","lattice","depends"
"371","coalescentMCMC","Matrix","imports"
"372","coalescentMCMC","phangorn","imports"
"373","coalescentMCMC","stats","imports"
"374","coda","R","depends"
"375","coda","lattice","imports"
"376","dclone","R","depends"
"377","dclone","coda","depends"
"378","dclone","parallel","depends"
"379","dclone","Matrix","depends"
"380","dclone","methods","imports"
"381","dclone","stats","imports"
"382","dclone","rjags","imports"
"383","dclone","rstan","imports"
"384","dclone","MASS","suggests"
"385","dclone","lattice","suggests"
"386","dclone","R2WinBUGS","suggests"
"387","dclone","R2OpenBUGS","suggests"
"388","dclone","BRugs","suggests"
"389","dclone","rlecuyer","suggests"
"390","deBInfer","R","depends"
"391","deBInfer","deSolve","depends"
"392","deBInfer","truncdist","imports"
"393","deBInfer","coda","imports"
"394","deBInfer","RColorBrewer","imports"
"395","deBInfer","MASS","imports"
"396","deBInfer","stats","imports"
"397","deBInfer","mvtnorm","imports"
"398","deBInfer","graphics","imports"
"399","deBInfer","grDevices","imports"
"400","deBInfer","plyr","imports"
"401","deBInfer","PBSddesolve","imports"
"402","deBInfer","methods","imports"
"403","deBInfer","testthat","suggests"
"404","deBInfer","knitr","suggests"
"405","deBInfer","rmarkdown","suggests"
"406","deBInfer","devtools","suggests"
"407","deBInfer","R.rsp","suggests"
"408","deBInfer","beanplot","suggests"
"409","dlm","stats","imports"
"410","dlm","utils","imports"
"411","dlm","methods","imports"
"412","dlm","grDevices","imports"
"413","dlm","graphics","imports"
"414","dlm","MASS","suggests"
"415","EbayesThresh","stats","imports"
"416","EbayesThresh","wavethresh","imports"
"417","EbayesThresh","testthat","suggests"
"418","EbayesThresh","knitr","suggests"
"419","EbayesThresh","rmarkdown","suggests"
"420","EbayesThresh","dplyr","suggests"
"421","EbayesThresh","ggplot2","suggests"
"422","ebdbNet","R","depends"
"423","ebdbNet","igraph","depends"
"424","ebdbNet","graphics","imports"
"425","ebdbNet","stats","imports"
"426","ebdbNet","GeneNet","suggests"
"427","eco","R","depends"
"428","eco","MASS","depends"
"429","eco","utils","depends"
"430","ensembleBMA","R","depends"
"431","ensembleBMA","chron","depends"
"432","ensembleBMA","fields","suggests"
"433","ensembleBMA","maps","suggests"
"434","EntropyMCMC","R","depends"
"435","EntropyMCMC","RANN","imports"
"436","EntropyMCMC","parallel","imports"
"437","EntropyMCMC","mixtools","imports"
"438","EntropyMCMC","Rmpi","suggests"
"439","EntropyMCMC","snow","suggests"
"440","evdbayes","R","depends"
"441","exactLoglinTest","R","depends"
"442","exactLoglinTest","stats","suggests"
"443","factorQR","R","depends"
"444","factorQR","lattice","depends"
"445","FME","R","depends"
"446","FME","deSolve","depends"
"447","FME","rootSolve","depends"
"448","FME","coda","depends"
"449","FME","minpack.lm","imports"
"450","FME","MASS","imports"
"451","FME","graphics","imports"
"452","FME","grDevices","imports"
"453","FME","stats","imports"
"454","FME","utils","imports"
"455","FME","minqa","imports"
"456","FME","diagram","suggests"
"457","geoR","R","depends"
"458","geoR","stats","depends"
"459","geoR","methods","depends"
"460","geoR","MASS","imports"
"461","geoR","sp","imports"
"462","geoR","splancs","imports"
"463","geoR","RandomFields","imports"
"464","geoR","graphics","imports"
"465","geoR","scatterplot3d","suggests"
"466","geoR","lattice","suggests"
"467","geoR","tcltk","suggests"
"468","geoR","geoRglm","suggests"
"469","geoRglm","R","depends"
"470","geoRglm","geoR","depends"
"471","geoRglm","stats","depends"
"472","geoRglm","sp","imports"
"473","geoRglm","coda","suggests"
"474","ggmcmc","dplyr","depends"
"475","ggmcmc","tidyr","depends"
"476","ggmcmc","ggplot2","depends"
"477","ggmcmc","GGally","imports"
"478","ggmcmc","coda","suggests"
"479","ggmcmc","rstan","suggests"
"480","ggmcmc","knitr","suggests"
"481","ggmcmc","rmarkdown","suggests"
"482","ggmcmc","ggthemes","suggests"
"483","ggmcmc","gridExtra","suggests"
"484","ggmcmc","Cairo","suggests"
"485","ggmcmc","extrafont","suggests"
"486","gRain","R","depends"
"487","gRain","methods","depends"
"488","gRain","gRbase","depends"
"489","gRain","igraph","imports"
"490","gRain","graph","imports"
"491","gRain","magrittr","imports"
"492","gRain","functional","imports"
"493","gRain","Rcpp","imports"
"494","gRain","Rgraphviz","suggests"
"495","gRain","microbenchmark","suggests"
"496","hbsae","R","depends"
"497","hbsae","Matrix","imports"
"498","hbsae","arm","imports"
"499","HI","R","depends"
"500","Hmisc","lattice","depends"
"501","Hmisc","survival","depends"
"502","Hmisc","Formula","depends"
"503","Hmisc","ggplot2","depends"
"504","Hmisc","methods","imports"
"505","Hmisc","latticeExtra","imports"
"506","Hmisc","cluster","imports"
"507","Hmisc","rpart","imports"
"508","Hmisc","nnet","imports"
"509","Hmisc","acepack","imports"
"510","Hmisc","foreign","imports"
"511","Hmisc","gtable","imports"
"512","Hmisc","grid","imports"
"513","Hmisc","gridExtra","imports"
"514","Hmisc","data.table","imports"
"515","Hmisc","htmlTable","imports"
"516","Hmisc","viridis","imports"
"517","Hmisc","htmltools","imports"
"518","Hmisc","base64enc","imports"
"519","Hmisc","chron","suggests"
"520","Hmisc","rms","suggests"
"521","Hmisc","mice","suggests"
"522","Hmisc","tables","suggests"
"523","Hmisc","knitr","suggests"
"524","Hmisc","ff","suggests"
"525","Hmisc","ffbase","suggests"
"526","Hmisc","plotly","suggests"
"527","Hmisc","rlang","suggests"
"528","iterLap","quadprog","depends"
"529","iterLap","randtoolbox","depends"
"530","iterLap","parallel","depends"
"531","iterLap","R","depends"
"532","LaplacesDemon","R","depends"
"533","LaplacesDemon","parallel","imports"
"534","LaplacesDemon","grDevices","imports"
"535","LaplacesDemon","graphics","imports"
"536","LaplacesDemon","stats","imports"
"537","LaplacesDemon","utils","imports"
"538","LaplacesDemon","KernSmooth","suggests"
"539","lme4","R","depends"
"540","lme4","Matrix","depends"
"541","lme4","methods","depends"
"542","lme4","stats","depends"
"543","lme4","graphics","imports"
"544","lme4","grid","imports"
"545","lme4","splines","imports"
"546","lme4","utils","imports"
"547","lme4","parallel","imports"
"548","lme4","MASS","imports"
"549","lme4","lattice","imports"
"550","lme4","boot","imports"
"551","lme4","nlme","imports"
"552","lme4","minqa","imports"
"553","lme4","nloptr","imports"
"554","lme4","knitr","suggests"
"555","lme4","rmarkdown","suggests"
"556","lme4","PKPDmodels","suggests"
"557","lme4","MEMSS","suggests"
"558","lme4","testthat","suggests"
"559","lme4","ggplot2","suggests"
"560","lme4","mlmRev","suggests"
"561","lme4","optimx","suggests"
"562","lme4","gamm4","suggests"
"563","lme4","pbkrtest","suggests"
"564","lme4","HSAUR2","suggests"
"565","lme4","numDeriv","suggests"
"566","lme4","car","suggests"
"567","lme4","dfoptim","suggests"
"568","lmm","R","depends"
"569","MasterBayes","coda","depends"
"570","MasterBayes","genetics","depends"
"571","MasterBayes","gtools","depends"
"572","MasterBayes","kinship2","depends"
"573","MasterBayes","methods","imports"
"574","MasterBayes","stats","imports"
"575","matchingMarkets","R","depends"
"576","matchingMarkets","Rcpp","imports"
"577","matchingMarkets","RcppProgress","imports"
"578","matchingMarkets","rJava","imports"
"579","matchingMarkets","lpSolve","imports"
"580","matchingMarkets","lattice","imports"
"581","matchingMarkets","partitions","imports"
"582","matchingMarkets","parallel","imports"
"583","matchingMarkets","stats","imports"
"584","matchingMarkets","utils","imports"
"585","matchingMarkets","knitr","suggests"
"586","matchingMarkets","ggplot2","suggests"
"587","matchingMarkets","grDevices","suggests"
"588","matchingMarkets","graphics","suggests"
"589","mcmc","R","depends"
"590","mcmc","stats","imports"
"591","mcmc","xtable","suggests"
"592","mcmc","Iso","suggests"
"593","MCMCglmm","Matrix","depends"
"594","MCMCglmm","coda","depends"
"595","MCMCglmm","ape","depends"
"596","MCMCglmm","corpcor","imports"
"597","MCMCglmm","tensorA","imports"
"598","MCMCglmm","cubature","imports"
"599","MCMCglmm","methods","imports"
"600","MCMCglmm","rgl","suggests"
"601","MCMCglmm","combinat","suggests"
"602","MCMCglmm","mvtnorm","suggests"
"603","MCMCglmm","orthopolynom","suggests"
"604","MCMCpack","R","depends"
"605","MCMCpack","coda","depends"
"606","MCMCpack","MASS","depends"
"607","MCMCpack","stats","depends"
"608","MCMCpack","graphics","imports"
"609","MCMCpack","grDevices","imports"
"610","MCMCpack","lattice","imports"
"611","MCMCpack","methods","imports"
"612","MCMCpack","utils","imports"
"613","MCMCpack","mcmc","imports"
"614","MCMCpack","quantreg","imports"
"615","MCMCvis","R","depends"
"616","MCMCvis","coda","imports"
"617","MCMCvis","rstan","imports"
"618","MCMCvis","overlapping","imports"
"619","MCMCvis","knitr","suggests"
"620","MCMCvis","rmarkdown","suggests"
"621","MCMCvis","testthat","suggests"
"622","mgcv","R","depends"
"623","mgcv","nlme","depends"
"624","mgcv","methods","imports"
"625","mgcv","stats","imports"
"626","mgcv","graphics","imports"
"627","mgcv","Matrix","imports"
"628","mgcv","splines","imports"
"629","mgcv","utils","imports"
"630","mgcv","parallel","suggests"
"631","mgcv","survival","suggests"
"632","mgcv","MASS","suggests"
"633","mlogitBMA","R","depends"
"634","mlogitBMA","BMA","depends"
"635","mlogitBMA","abind","depends"
"636","mlogitBMA","maxLik","depends"
"637","mlogitBMA","mlogit","suggests"
"638","MNP","R","depends"
"639","MNP","MASS","depends"
"640","MNP","utils","depends"
"641","MNP","testthat","suggests"
"642","mombf","R","depends"
"643","mombf","methods","depends"
"644","mombf","mvtnorm","depends"
"645","mombf","ncvreg","depends"
"646","mombf","mgcv","depends"
"647","mombf","Rcpp","imports"
"648","mombf","mclust","imports"
"649","mombf","survival","imports"
"650","mombf","parallel","suggests"
"651","monomvn","R","depends"
"652","monomvn","pls","depends"
"653","monomvn","lars","depends"
"654","monomvn","MASS","depends"
"655","monomvn","quadprog","imports"
"656","monomvn","mvtnorm","imports"
"657","NetworkChange","R","depends"
"658","NetworkChange","MCMCpack","depends"
"659","NetworkChange","ggplot2","depends"
"660","NetworkChange","grid","imports"
"661","NetworkChange","LaplacesDemon","imports"
"662","NetworkChange","Rmpfr","imports"
"663","NetworkChange","abind","imports"
"664","NetworkChange","mvtnorm","imports"
"665","NetworkChange","tidyr","imports"
"666","NetworkChange","sna","imports"
"667","NetworkChange","igraph","imports"
"668","NetworkChange","qgraph","imports"
"669","NetworkChange","network","imports"
"670","NetworkChange","stats","imports"
"671","NetworkChange","MASS","imports"
"672","NetworkChange","methods","imports"
"673","NetworkChange","RColorBrewer","imports"
"674","NetworkChange","reshape","imports"
"675","NetworkChange","ggrepel","imports"
"676","NetworkChange","gridExtra","imports"
"677","NetworkChange","rlang","imports"
"678","NetworkChange","GGally","imports"
"679","NetworkChange","ggvis","imports"
"680","nimble","R","depends"
"681","nimble","methods","imports"
"682","nimble","igraph","imports"
"683","nimble","coda","imports"
"684","nimble","R6","imports"
"685","nimble","testthat","suggests"
"686","openEBGM","R","depends"
"687","openEBGM","data.table","imports"
"688","openEBGM","ggplot2","imports"
"689","openEBGM","stats","imports"
"690","openEBGM","DEoptim","suggests"
"691","openEBGM","dplyr","suggests"
"692","openEBGM","knitr","suggests"
"693","openEBGM","rmarkdown","suggests"
"694","openEBGM","testthat","suggests"
"695","openEBGM","tidyr","suggests"
"696","PAWL","methods","depends"
"697","PAWL","mvtnorm","depends"
"698","PAWL","foreach","depends"
"699","PAWL","reshape","depends"
"700","PAWL","ggplot2","depends"
"701","pcFactorStan","R","depends"
"702","pcFactorStan","methods","depends"
"703","pcFactorStan","Rcpp","depends"
"704","pcFactorStan","rstan","imports"
"705","pcFactorStan","reshape2","imports"
"706","pcFactorStan","mvtnorm","imports"
"707","pcFactorStan","igraph","imports"
"708","pcFactorStan","loo","imports"
"709","pcFactorStan","knitr","suggests"
"710","pcFactorStan","rmarkdown","suggests"
"711","pcFactorStan","testthat","suggests"
"712","pcFactorStan","shiny","suggests"
"713","pcFactorStan","ggplot2","suggests"
"714","pcFactorStan","covr","suggests"
"715","pcFactorStan","qgraph","suggests"
"716","plotMCMC","R","depends"
"717","plotMCMC","coda","imports"
"718","plotMCMC","gplots","imports"
"719","plotMCMC","lattice","imports"
"720","plotMCMC","gdata","suggests"
"721","predmixcor","R","depends"
"722","PReMiuM","R","depends"
"723","PReMiuM","Rcpp","imports"
"724","PReMiuM","ggplot2","imports"
"725","PReMiuM","cluster","imports"
"726","PReMiuM","plotrix","imports"
"727","PReMiuM","gamlss.dist","imports"
"728","PReMiuM","ald","imports"
"729","PReMiuM","data.table","imports"
"730","PReMiuM","spdep","imports"
"731","PReMiuM","rgdal","imports"
"732","PReMiuM","testthat","suggests"
"733","prevalence","R","depends"
"734","prevalence","rjags","depends"
"735","prevalence","coda","depends"
"736","prevalence","methods","depends"
"737","pscl","MASS","imports"
"738","pscl","datasets","imports"
"739","pscl","grDevices","imports"
"740","pscl","graphics","imports"
"741","pscl","stats","imports"
"742","pscl","utils","imports"
"743","pscl","lattice","suggests"
"744","pscl","MCMCpack","suggests"
"745","pscl","car","suggests"
"746","pscl","lmtest","suggests"
"747","pscl","sandwich","suggests"
"748","pscl","zoo","suggests"
"749","pscl","coda","suggests"
"750","pscl","vcd","suggests"
"751","pscl","mvtnorm","suggests"
"752","pscl","mgcv","suggests"
"753","R2BayesX","R","depends"
"754","R2BayesX","BayesXsrc","depends"
"755","R2BayesX","colorspace","depends"
"756","R2BayesX","mgcv","depends"
"757","R2BayesX","methods","imports"
"758","R2BayesX","akima","suggests"
"759","R2BayesX","coda","suggests"
"760","R2BayesX","maps","suggests"
"761","R2BayesX","maptools","suggests"
"762","R2BayesX","MBA","suggests"
"763","R2BayesX","parallel","suggests"
"764","R2BayesX","shapefiles","suggests"
"765","R2BayesX","sp","suggests"
"766","R2BayesX","spdep","suggests"
"767","R2BayesX","splines","suggests"
"768","R2BayesX","rgdal","suggests"
"769","R2BayesX","spData","suggests"
"770","R2jags","R","depends"
"771","R2jags","rjags","depends"
"772","R2jags","abind","imports"
"773","R2jags","coda","imports"
"774","R2jags","graphics","imports"
"775","R2jags","grDevices","imports"
"776","R2jags","methods","imports"
"777","R2jags","R2WinBUGS","imports"
"778","R2jags","parallel","imports"
"779","R2jags","stats","imports"
"780","R2jags","utils","imports"
"781","R2WinBUGS","R","depends"
"782","R2WinBUGS","coda","depends"
"783","R2WinBUGS","boot","depends"
"784","R2WinBUGS","utils","imports"
"785","R2WinBUGS","stats","imports"
"786","R2WinBUGS","graphics","imports"
"787","R2WinBUGS","BRugs","suggests"
"788","ramps","coda","depends"
"789","ramps","maps","depends"
"790","ramps","Matrix","depends"
"791","ramps","nlme","depends"
"792","ramps","fields","imports"
"793","ramps","graphics","imports"
"794","ramps","grDevices","imports"
"795","ramps","methods","imports"
"796","ramps","stats","imports"
"797","revdbayes","R","depends"
"798","revdbayes","bayesplot","imports"
"799","revdbayes","graphics","imports"
"800","revdbayes","methods","imports"
"801","revdbayes","Rcpp","imports"
"802","revdbayes","rust","imports"
"803","revdbayes","stats","imports"
"804","revdbayes","utils","imports"
"805","revdbayes","evdbayes","suggests"
"806","revdbayes","ggplot2","suggests"
"807","revdbayes","knitr","suggests"
"808","revdbayes","microbenchmark","suggests"
"809","revdbayes","rmarkdown","suggests"
"810","revdbayes","testthat","suggests"
"811","RJaCGH","R","depends"
"812","rjags","R","depends"
"813","rjags","coda","depends"
"814","rjags","tcltk","suggests"
"815","RSGHB","methods","depends"
"816","RSGHB","MCMCpack","depends"
"817","RSGHB","graphics","imports"
"818","RSGHB","grDevices","imports"
"819","RSGHB","stats","imports"
"820","RSGHB","utils","imports"
"821","RSGHB","methods","depends"
